Area,Exercise Number,Exercise Requirements,Status
Advanced Concurrency,11,Build a coroutine library using setjmp/longjmp,Not Started
Advanced Concurrency,12,Create an event-driven system with epoll/kqueue,Not Started
Bitwise Operations and Data Structures,1,"Implement bit manipulation: set, clear, toggle, test individual bits",Not Started
Bitwise Operations and Data Structures,2,Count number of set bits (population count) without builtin,Not Started
Bitwise Operations and Data Structures,3,Find first/last set bit position using bit tricks,Not Started
Bitwise Operations and Data Structures,4,Implement bit reversal for 32-bit integers,Not Started
Bitwise Operations and Data Structures,5,Create a bit vector data structure with set/get/clear operations,Not Started
Bitwise Operations and Data Structures,6,Build a Bloom filter using multiple hash functions,Not Started
Bitwise Operations and Data Structures,7,Implement a bitmap allocator for memory management,Not Started
Bitwise Operations and Data Structures,8,Create a bitwise trie for IP address routing,Not Started
Bitwise Operations and Data Structures,9,Build a compressed bit array with run-length encoding,Not Started
Bitwise Operations and Data Structures,10,Implement XOR-based encryption/decryption,Not Started
Bitwise Operations and Data Structures,11,Create a bit-packed structure for storing multiple small integers,Not Started
Bitwise Operations and Data Structures,12,Build a perfect hash function using bit manipulation,Not Started
Bitwise Operations and Data Structures,13,Implement Gray code generation and conversion,Not Started
Bitwise Operations and Data Structures,14,Create a bitwise priority queue using bit scanning,Not Started
Bitwise Operations and Data Structures,15,Build a compression algorithm using bit manipulation (simple LZ77),Not Started
Advanced Memory Management,1,Implement a slab allocator for fixed-size objects,Not Started
Advanced Memory Management,2,Build a buddy allocator with power-of-2 block sizes,Not Started
Advanced Memory Management,3,Create a pool allocator with different sized pools,Not Started
Advanced Memory Management,4,Implement a stack allocator with rewind capability,Not Started
Advanced Memory Management,5,Build a ring buffer allocator for streaming data,Not Started
Advanced Memory Management,6,Create copy-on-write memory management,Not Started
Advanced Memory Management,7,Implement memory-mapped file handling with lazy loading,Not Started
Advanced Memory Management,8,Build a garbage collector (mark-and-sweep),Not Started
Advanced Memory Management,9,Create a reference counting system with cycle detection,Not Started
Advanced Memory Management,10,Implement a generational garbage collector,Not Started
Advanced Memory Management,11,Build a memory profiler that tracks allocation patterns,Not Started
Advanced Memory Management,12,Create a virtual memory simulator with page tables,Not Started
Hardware Interface and Optimization,1,Measure CPU cache line size and demonstrate cache effects,Not Started
Hardware Interface and Optimization,2,Implement prefetching to improve memory access patterns,Not Started
Hardware Interface and Optimization,3,Write SIMD operations for array processing (SSE/AVX if available),Not Started
Hardware Interface and Optimization,4,Create branch prediction friendly code structures,Not Started
Hardware Interface and Optimization,5,Implement timing using CPU cycle counters (RDTSC),Not Started
Hardware Interface and Optimization,6,Build a performance profiler using hardware performance counters,Not Started
Hardware Interface and Optimization,7,Create false sharing examples and solutions,Not Started
Hardware Interface and Optimization,8,Implement memory fencing for different architectures,Not Started
Hardware Interface and Optimization,9,Build a CPU topology detector,Not Started
Hardware Interface and Optimization,10,Create NUMA-aware memory allocation,Not Started
Hardware Interface and Optimization,11,Implement instruction-level parallelism examples,Not Started
Hardware Interface and Optimization,12,Build a micro-benchmark suite for different operations,Not Started
Systems Programming Projects,1,Build a minimal HTTP server with custom memory management,Not Started
Systems Programming Projects,2,Create a database storage engine with custom B-tree implementation,Not Started
Systems Programming Projects,3,Implement a virtual machine with bytecode interpreter,Not Started
Systems Programming Projects,4,Build a network protocol stack (simplified TCP/IP),Not Started
Systems Programming Projects,5,Create a filesystem implementation (simple FAT-like),Not Started
Systems Programming Projects,6,Implement a process sandbox using namespaces,Not Started
Systems Programming Projects,7,Build a container runtime (simplified Docker-like),Not Started
Systems Programming Projects,8,Create a kernel module for character device,Not Started
Systems Programming Projects,9,Implement a distributed hash table,Not Started
Systems Programming Projects,10,Build a real-time system scheduler,Not Started
